-7.9712230216,0.0959232614,6.1390887290,
-6.9616306954,0.2206235012,5.9568345324,
-8.0383693046,-0.2757793765,6.0623501199,
-7.5419664269,-0.3333333333,6.3645083933,
-7.5563549161,-0.3333333333,6.6930455635,
-7.6522781775,-0.1079136691,6.3669064748,
-7.2182254197,-0.1558752998,6.4172661871,
-8.0143884892,-0.5611510791,6.0311750600,
-6.9136690647,-0.0935251799,6.5515587530,
-7.4340527578,-0.5707434053,6.3956834532,
-8.0263788969,-0.4316546763,6.4484412470,
-7.2110311751,0.2038369305,6.4580335731,
-7.8201438849,0.1223021583,6.1151079137,
-7.5875299760,0.0719424460,6.5395683453,
-7.5155875300,-1.0095923261,6.3237410072,
-7.1031175060,-0.3285371703,6.3812949640,
-7.5971223022,-0.1726618705,6.2757793765,
-7.7721822542,-0.7745803357,6.7290167866,
-7.9664268585,0.1630695444,6.1103117506,
-7.3860911271,0.7505995204,6.3573141487,
-7.9952038369,-0.5491606715,5.8872901679,
-7.4484412470,-0.3573141487,6.7362110312,
-6.8776978417,-0.6714628297,6.6738609113,
-7.6906474820,-0.3573141487,6.2661870504,
-7.6978417266,0.2853717026,6.4796163070,
-7.6450839329,-0.6642685851,6.4148681055,
-7.3573141487,-0.1031175060,6.3764988010,
-7.7266187050,0.5947242206,6.1750599520,
-8.1870503597,-0.6115107914,6.4316546763,
-6.7577937650,-0.1079136691,6.7266187050,
-7.6546762590,0.2541966427,6.3333333333,
-7.8585131894,-0.7218225420,6.1918465228,
-6.4580335731,-0.7050359712,7.0287769784,
-7.9232613909,-0.1990407674,6.1318944844,
-7.9016786571,0.0839328537,6.0743405276,
-7.5035971223,0.1966426859,6.6258992806,
-7.6235011990,-0.3836930456,6.8105515588,
-7.3453237410,-0.1942446043,6.3693045564,
-7.7673860911,-0.3884892086,6.2038369305,
-7.3021582734,-0.5899280576,6.2326139089,
-6.7146282974,-0.4436450839,6.7817745803,
-8.0383693046,-0.2733812950,6.1918465228,
-7.8033573141,0.1438848921,6.3477218225,
-7.2517985612,0.1223021583,6.4388489209,
-7.8729016787,-0.1678657074,6.5155875300,
-7.2925659472,-0.4628297362,6.5107913669,
-6.9784172662,-0.2014388489,6.4556354916,
-7.6858513189,-0.5395683453,6.3429256595,
-6.8800959233,-0.1270983213,6.3549160671,
-8.0239808153,-0.3045563549,6.3141486811,
-7.4580335731,0.2613908873,6.6594724221,
-7.5467625899,-0.4748201439,7.0383693046,
-7.2541966427,-0.0071942446,6.1750599520,
-8.1270983213,-0.3285371703,6.0815347722,
-6.8297362110,0.0047961631,6.2949640288,
-7.5899280576,-0.5755395683,6.7170263789,
-7.1247002398,-0.3237410072,6.5635491607,
-7.7218225420,-0.6762589928,6.2206235012,
-7.7601918465,0.4700239808,5.8225419664,
-7.4820143885,0.2829736211,6.5083932854,
-7.7529976019,-0.7050359712,6.7002398082,
-7.5299760192,-0.3645083933,6.6882494005,
-7.2350119904,0.0215827338,6.2422062350,
-7.7673860911,-0.1726618705,5.9256594724,
-7.4028776978,-0.4628297362,6.6738609113,
-7.1846522782,-0.6378896882,6.6282973621,
-7.9256594724,-0.1774580336,6.3237410072,
-7.5395683453,0.4580335731,6.1007194245,
-7.8944844125,-0.6666666667,6.4748201439,
-7.0575539568,0.3932853717,6.6594724221,
-7.6738609113,-0.3357314149,6.6690647482,
-7.2158273381,-0.5419664269,6.2637889688,
-7.0839328537,-0.4724220624,6.8992805755,
-7.3932853717,-0.4988009592,6.4028776978,
